,0,Irony,Offensive,Emotion,Stress Score,Topics
31684,"Salat(prayer),2nd pillar of Islam,is mentioned 700x in the Quran.Zakat (charity),3rd pillar, mentioned over 150x... 
A day after taking steps to warm relations with Hispanics, Donald J. Trump may have taken a step backward when he suggested that Jeb Bush 
After an emotional battle, Serena beats Venus in the sisters' 14th Grand Slam matchup, 6-2, 1-6, 6-3. -Via @user  @user 
Cupid and Psyche isn\u2019t an original Greek myth. It was a story in The Golden Ass by Apuleius and often cited as the 1st Fairy Tale. 
Tomorrow is the LAST DAY to win Ed Sheeran concert tickets, so come to Center Court on Saturday from 11:30-1:30... ",irony,not-offensive,joy,605.1131729460772,"['news_&_social_concern', 'celebrity_&_pop_culture', 'sports']"
19100,PSG's asking price for Adrien Rabiot is 13 million. Milan have shown previous interest in the central midfielder. [The Sun] ,irony,not-offensive,joy,922.395776617058,"['sports', 'news_&_social_concern', 'business_&_entrepreneurs']"
8280,"Soto homered to add another run to the White Sox's tally, lead 4-0 in the 7th ",irony,not-offensive,joy,36.769230580697986,"['sports', 'news_&_social_concern', 'gaming']"
17884,"News Alarm: Matt Adams (1B - StL) Matt Adams went 1-for-3 with a home run, a walk, and an RBI on Thursday in Game 5 of the NLCS. ",irony,not-offensive,joy,-328.7431678828309,"['sports', 'news_&_social_concern', 'celebrity_&_pop_culture']"
35083,Just score a seat at the Red Sox for Friday PM! Woot!! ,irony,not-offensive,joy,-66.305098855683,"['sports', 'gaming', 'news_&_social_concern']"
24975,Peyton Manning Uganda Jordan Farmar I can take it Papi ,non_irony,not-offensive,joy,-168.78955845377197,"['celebrity_&_pop_culture', 'sports', 'music']"
21881,Expect Samsung to announce the Galaxy Note 5 on Aug 13 for @user ,irony,not-offensive,joy,-256.5862979410501,"['science_&_technology', 'business_&_entrepreneurs', 'learning_&_educational']"
9532,"Christians, never downplay the importance of living an authentic life for Christ. Your life may be the only Bible someone ever sees. ",irony,not-offensive,optimism,601.7247870234061,"['other_hobbies', 'diaries_&_daily_life', 'arts_&_culture']"
24071,I\u2019ll be in Berlin with @user and @user for Social Media Week. Meet us there tomorrow @user event:  #SMWB ,non_irony,not-offensive,joy,276.234872095527,"['learning_&_educational', 'diaries_&_daily_life', 'travel_&_adventure']"
17698,"James: ""Why can't Big Brother just throw us a coup d'etat?"" Meg: ""Seriously!"" James: ""...and on Thursday we'll have the last laugh."" #BB17 ",irony,not-offensive,anger,143.06594827398195,"['diaries_&_daily_life', 'film_tv_&_video', 'news_&_social_concern']"
7814,"\""I once told Harry I was leaving the band on February 30th. He cried for hours until he realised there is no February 30th\"" - Zayn Malik\u002c ",irony,not-offensive,sadness,151.773233927262,"['music', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
11400,Nicki had the most consecutive weeks in the Top 10 by a female artist with 'Pink Friday'. ,irony,not-offensive,joy,581.6466576371769,"['music', 'celebrity_&_pop_culture', 'news_&_social_concern']"
28267,"Fuck you Tony Blair. I hated you before, and I hate you more now. I have no respect for this man! 
My Ninja got us tickets for the Mavs game Monday!(: 
DJ DERRTY D SPORTS Caitlyn Jenner May Be Charged with Manslaughter in February Crash 
\""""""""\""""""""A single-vehicle crash early Sunday morning claimed the life of a Selma teen. James Brandon Banks\u002c 19\u002c was... ",non_irony,offensive,anger,155.03099905045903,"['sports', 'news_&_social_concern', 'celebrity_&_pop_culture']"
