,0,Irony,Offensive,Emotion,Stress Score,Topics
117591,"modi the voice nation for 2019 khanna scoop news jammu kashmir ,0",irony,not-offensive,joy,114.88292376452503,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
100797,"remember before vote ,0",non_irony,not-offensive,sadness,-2.111455207709998,"['news_&_social_concern', 'diaries_&_daily_life', 'other_hobbies']"
10839,"what every poor indian will get their bank accounts per world media going gaga over congress promise eradicate poverty india indian media which believes and publicises every jumla modi throws people questioning over fiscal numbers ,-1",irony,not-offensive,anger,1173.3633222635765,"['news_&_social_concern', 'business_&_entrepreneurs', 'diaries_&_daily_life']"
74730,"not model code conduct modi code conduct,0",non_irony,not-offensive,anger,72.48914027407601,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
37232,"new accounts will opened for everyone that one will used which was opened narendra modi government ,1",non_irony,not-offensive,optimism,-23.43610647036302,"['news_&_social_concern', 'diaries_&_daily_life', 'other_hobbies']"
133213,"rock star modi
fight finish,0",non_irony,not-offensive,anger,351.757282652622,"['sports', 'celebrity_&_pop_culture', 'news_&_social_concern']"
67090,"forms panel examine modi violated model code
read more ,1",non_irony,not-offensive,anger,104.94324599856998,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
63844,"congratulations modi government ,0",irony,not-offensive,joy,62.12689367634,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
2223,"shiva you are world celebrity more indian need you now here come back lets together build honest patriotic country with our modi ,1",non_irony,not-offensive,optimism,551.4871286383211,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
91923,"remove modi and democracy will saved automatically,0",irony,not-offensive,anger,56.33564859973603,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
145704,"modi laana hai kindly watch share dis poem composed ,1",non_irony,not-offensive,joy,134.86472330716302,"['news_&_social_concern', 'arts_&_culture', 'celebrity_&_pop_culture']"
148308,"give modi one more term you would see pakoda shops all over,1",irony,not-offensive,anger,43.755939488028964,"['news_&_social_concern', 'diaries_&_daily_life', 'other_hobbies']"
60907,"this gift for you enjoy ,1",non_irony,not-offensive,joy,203.29902555839595,"['diaries_&_daily_life', 'other_hobbies', 'relationships']"
